Feature,Selected,Rank
Store,True,1
Ntype,True,1
Days_to_Thansksgiving,True,1
Days_to_Christmas,True,1
WeekOfYear,True,1
Unemployment,True,1
CPI,True,1
Size,True,1
Dept,True,1
Temperature,True,1
Day,False,2
MarkDown3,False,3
Fuel_Price,False,4
Month,False,5
HolidayType,False,6
MarkDown4,False,7
SaleAmount,False,8
MarkDown5,False,9
MarkDown1,False,10
MarkDown2,False,11
IsHoliday,False,12
Time_to_Thanksgiving,False,13
Year,False,14
Time_to_Christmas,False,15
IsSale,False,16
